ano,disciplina,acertos,escore
2016,MAT,2,339.55
2016,MAT,3,360.18
2016,MAT,4,380.81
2016,MAT,5,401.45
2016,MAT,6,422.08
2016,MAT,7,442.72
2016,MAT,8,463.35
2016,MAT,9,483.98
2016,MAT,10,504.62
2016,MAT,11,525.25
2016,MAT,12,545.89
2016,MAT,13,566.52
2016,MAT,14,587.15
2016,MAT,15,607.79
2017,FIS,1,336.76
2017,FIS,2,361.0
2017,FIS,3,385.24
2017,FIS,4,409.48
2017,FIS,5,433.72
2017,FIS,6,457.95
2017,FIS,7,482.19
2017,FIS,8,506.43
2017,FIS,9,530.67
2017,FIS,10,554.91
2017,FIS,11,579.15
2017,FIS,12,603.38
2017,FIS,13,627.62
2017,FIS,14,651.86
2017,FIS,15,676.1
2017,LEM_INGLÊS,1,295.48
2017,LEM_INGLÊS,2,318.78
2017,LEM_INGLÊS,3,342.07
2017,LEM_INGLÊS,4,365.36
2017,LEM_INGLÊS,5,388.66
2017,LEM_INGLÊS,6,411.95
2017,LEM_INGLÊS,7,435.25
2017,LEM_INGLÊS,8,458.54
2017,LEM_INGLÊS,9,481.84
2017,LEM_INGLÊS,10,505.13
2017,LEM_INGLÊS,11,528.42
2017,LEM_INGLÊS,12,551.72
2017,LEM_INGLÊS,13,575.01
2017,LEM_INGLÊS,14,598.31
2017,LEM_INGLÊS,15,621.6
2017,LEM_ESPANHOL,1,243.45
2017,LEM_ESPANHOL,2,269.43
2017,LEM_ESPANHOL,3,295.41
2017,LEM_ESPANHOL,4,321.4
2017,LEM_ESPANHOL,5,347.38
2017,LEM_ESPANHOL,6,373.36
2017,LEM_ESPANHOL,7,399.34
2017,LEM_ESPANHOL,8,425.32
2017,LEM_ESPANHOL,9,451.31
2017,LEM_ESPANHOL,10,477.29
2017,LEM_ESPANHOL,11,503.27
2017,LEM_ESPANHOL,12,529.25
2017,LEM_ESPANHOL,13,555.24
2017,LEM_ESPANHOL,14,581.22
2017,LEM_ESPANHOL,15,607.2
2017,LEM_ITALIANO,1,319.8
2017,LEM_ITALIANO,2,334.99
2017,LEM_ITALIANO,3,350.19
2017,LEM_ITALIANO,4,365.38
2017,LEM_ITALIANO,5,380.58
2017,LEM_ITALIANO,6,395.77
2017,LEM_ITALIANO,7,410.97
2017,LEM_ITALIANO,8,426.16
2017,LEM_ITALIANO,9,441.36
2017,LEM_ITALIANO,10,456.55
2017,LEM_ITALIANO,11,471.74
2017,LEM_ITALIANO,12,486.94
2017,LEM_ITALIANO,13,502.13
2017,LEM_ITALIANO,14,517.33
2017,LEM_ITALIANO,15,532.52
2017,LEM_FRANCÊS,1,282.2
